osmid,x,y
2052669823,73.3134898,55.0157786
2052669853,73.3093061,55.0229956
2055887300,73.4113131,54.9595148
2071327128,73.4221471,55.0247186
2072479244,73.2753987,55.0621671
2073060600,73.3809323,54.9926352
2074169603,73.4267376,55.0135838
2074396938,73.3596622,54.9757437
2074405447,73.3390626,54.9472047
2074405454,73.3406066,54.9484186
2075693297,73.3299728,54.9226405
2075693466,73.3085132,54.9272347
2075693473,73.3070577,54.9273678
2075693479,73.3067004,54.927422
2075906179,73.4135854,54.9276514
2075906209,73.413189,54.9283352
2075916064,73.3833417,55.0329287
2075952420,73.3306849,54.987871
2080777194,73.3775917,54.9713943
2080790356,73.4089904,54.9288971
2080790358,73.4051788,54.9293763
2080793469,73.3009506,54.9122307
2080793541,73.3012848,54.9128531
2080793549,73.3006204,54.914193
2084903580,73.4421381,54.9704192
2094326981,73.2955569,54.920016
2104014029,73.3889129,54.9965218
2105152650,73.4847944,54.9443852
2115205319,73.4461742,54.9259752
2115205324,73.4455513,54.9268963
2125962033,73.3343873,54.9490896
2127036196,73.3932821,54.973377
2127036200,73.3946279,54.9734507
2127036208,73.3932529,54.9735314
2131063823,73.373863,54.9866667
2131063826,73.3762875,54.9830785
2131063843,73.368476,54.9892517
2131787631,73.3720482,54.9911496
2131787639,73.3765622,54.9872302
2131787640,73.373595,54.9908278
2131788145,73.3685811,54.9912477
2131791362,73.3804924,54.9827668
2131791363,73.3804806,54.9817104
2131791364,73.3806455,54.980766
2131791365,73.3812727,54.9777661
2131791367,73.3824263,54.9727558
2131791368,73.3823944,54.9728847
2131791369,73.3829945,54.9704844
2131791370,73.3817323,54.9757534
2131791371,73.3810537,54.9787815
2131791372,73.3839875,54.9680481
2131791375,73.3860093,54.9623218
2131791376,73.3881602,54.952473
2131791377,73.3872222,54.9566484
2131791378,73.3876317,54.9548551
2131791379,73.3819632,54.9747667
2131792138,73.3855602,54.9643193
2131795638,73.3837835,54.9685266
2131847483,73.3815218,54.9767069
2131857219,73.3875746,54.9494005
2131874830,73.3865343,54.9471987
2131874831,73.383594,54.9409269
2131874834,73.3855396,54.9450607
2134517322,73.4354957,55.0403326
2134524315,73.4140829,55.0075066
2134537606,73.3836666,54.9942376
2134537615,73.3835909,54.994919
2135551758,73.4928141,54.9342429
2140975143,73.382887,54.9522378
2143416009,73.3957314,54.9916127
2143418024,73.3754499,55.0211948
2149942224,73.3661421,54.9299042
