u,v
410235298,1488421160
410235298,410378171
410235298,410378170
410235416,457422194
410235416,474622894
410235416,410502912
410235554,11499383098
410235725,410235868
410235868,11499383107
410235868,467925432
410235868,1248190144
410242452,456011915
410242452,778883098
410242452,410363321
410242452,595531035
410242453,1836133942
410242453,242922941
410242469,410242470
410242469,1262271572
410242469,410262815
410242470,410242469
410242470,410262818
410242472,410242470
410242472,746912411
410242472,410262818
410243200,2953819656
410243202,11438462720
410243202,1598427697
410243202,410243516
410243516,410243202
410243516,1880347072
410243701,410245582
410243701,1636530031
410243701,1609910352
410243701,410244733
410244578,1002417782
410244578,410244998
410244578,484756742
410244578,410244733
410244733,410244578
410244733,410243701
410244733,410245464
410244998,410245464
410244998,410244578
410244998,11438462720
410245462,2953819656
410245462,410245582
410245462,410245464
410245464,410244998
410245464,410245462
410245464,410244733
410245582,410245462
410245582,410243701
410245582,6480488495
410246072,242922928
410246072,1101914486
410246072,1851759083
410246347,484756756
410246347,1260851728
410246347,410246697
410246348,1101914486
410246348,1260851728
410246348,410246736
410246690,1324675022
410246690,410246736
410246690,410249673
410246697,1324675022
410246697,410246347
410246697,410250993
410246736,410246690
410246736,410246348
410246736,410410157
410248097,766247103
410248097,766216790
410248097,766221645
410249541,410410157
410249670,410410157
410249670,931449367
410249670,849314090
410249673,410410157
410249673,410246690
410249673,410258476
410250993,410246697
410250993,410410149
410250993,485567802
410256683,1093206905
410256683,797843381
410256683,766216789
410257328,410257873
410257328,410260115
410257328,410257334
410257334,410257328
410257334,2243970489
410257334,410257873
410257873,410257328
410257873,410613932
410257873,2216314111
410257873,766221645
410257873,410257334
410258476,410260115
410258476,410249673
410258476,410260088
410260013,453026377
410260014,410260117
410260014,453026377
410260014,410260087
410260087,410260014
410260088,410260117
410260088,410258476
410260088,410260502
410260115,410258476
410260115,410257328
410260115,410260117
410260117,410260088
410260117,410260014
410260117,410260115
410260492,453026377
410260492,5903190905
410260492,2884826593
410260492,1403289580
410260502,453026377
410260502,410260088
410260502,766247103
410262612,242922928
410262612,410242453
410262612,242922941
410262815,410242469
410262815,410262818
